id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
UTXO2261,UTXO,,-1,,0,1,5000000000,0,0,-1
UTXO10121,UTXO,,-1,,0,1,5000000000,0,0,-1
UTXO10426,UTXO,,-1,,0,1,5000000000,0,0,-1
3988813510224418,tx,6a847119ac7b2dac4cb4afc32c0d7a82e19e6084e1ee3d19441751d122705e71,15157,000000005d14c09a8b6b6bff00b6a4aafe8fc86576e6dd9163d68b4a289a2110,0,1,5000000000,1,5000000000,15281
1047729119848594,tx,1048e3a5877437cc53565c1362e9b4fdac1f2bbfa9b18c1cea974413903bc71d,16079,00000000a5d4d3548665edd88d216f8eddf1e9d9e54df2e65163f9d4188ee2bb,0,1,5000000000,1,5000000000,16204
4776680939614516,tx,a8a330c46c0a1314ef3b75f79f53fee6da26616eea72cbdde0a289e394edc287,17605,0000000058a64bf823c51099c71c79a82645b32dee4aaca84357286fc2037796,0,1,5000000000,1,5000000000,17731
3570056287813434,tx,315f41f6ca3bf76938bc7a1f28ae1c77ecc8a64d0a0d37476ed7f9e706947765,23625,00000000807e567691a7c9f789aa19781ce70f82c52754c88d3309cdee1240e3,0,20,100000000000,1,100000000000,23776
473238214195346,tx,28c0959d3b71fda237462e0bacd9c77e079d9557d8ed4d2b7e92c435dd42730d,26112,00000000a5ec628ab7ebf616a3b5c2ce0ac82fc6a2b97e457a9c45534c817384,0,31,155000000000,1,155000000000,26280
2717130959999693,tx,50b0766122ab81628a5446eb315646ec92cbb6b63df7ddd9c46e966ecdba394d,28160,00000000e7a7bd49a26213233e4905b0e2e9b5d7a2acd12cc621b099a2adb6f8,0,1,5000000000,1,5000000000,28343
7801627153828006,tx,5307c1c87398251c8a82e1253443f85d2f94595ebc7838968c334564f94ebcdd,30759,0000000077b0bfe89d02ccc00713d11ba39f92e63a7e1a8d466c7351bcbc61be,0,1,5000000000,1,5000000000,30975
2161834578440701,tx,6dfa7db57ba1e32985cfb448cb2347323782ed04167a2e2b0eed8fe3b06a713d,32482,00000000bb73cadc526686568d5605491ae4127d89495c0af61f28c9f73fb6c3,0,1,5000000000,1,5000000000,32701
7249222868342271,tx,0c0ab0fca3bab71ac1f27331bfeda3cf16d5a5fbc7f66da37efbafb8cf0909ce,33914,000000005a930a892663bbd5fe3a42244c4f97e9f1142d66dbe07b0a72934c03,0,1,5000000000,1,5000000000,34137
