src_id,dst_id,src_position,dst_position,address,value
coinbase37,4403561468718614,4294967295,0,coinbase37,5000000000
coinbase138,7658094645937217,4294967295,0,coinbase138,5000000000
coinbase168,7628609667758002,4294967295,0,coinbase168,5000000000
669268724520570,UTXO219,0,-1,1MUuVeuS6DDS5QKR2BNZ9fipXCEsFujaMH,5000000000
coinbase363,2442062476692167,4294967295,0,coinbase363,5000000000
coinbase388,5710980687758559,4294967295,0,coinbase388,5000000000
coinbase465,4113424470067059,4294967295,0,coinbase465,5000000000
coinbase533,8003299364150400,4294967295,0,coinbase533,5000000000
2498105604838527,UTXO574,0,-1,1Q9mRwUXWbDRiq5LhNiXhf9cXeZcCQYVTE,5000000000
8567894641121685,UTXO728,0,-1,16c44JhQegiNQmZevfQWscS4SbT1tZ8BGd,5000000000
coinbase875,3711446306503579,4294967295,0,coinbase875,5000000000
coinbase974,4234218741694430,4294967295,0,coinbase974,5000000000
coinbase977,5935868801175383,4294967295,0,coinbase977,5000000000
coinbase1164,7969003307846254,4294967295,0,coinbase1164,5000000000
coinbase1211,2897660482943406,4294967295,0,coinbase1211,5000000000
coinbase1342,6704556208065961,4294967295,0,coinbase1342,5000000000
coinbase1431,8527417126080759,4294967295,0,coinbase1431,5000000000
coinbase1494,4969637621606977,4294967295,0,coinbase1494,5000000000
coinbase1591,8724692624757714,4294967295,0,coinbase1591,5000000000
coinbase2293,2886987117760479,4294967295,0,coinbase2293,5000000000
coinbase2356,17659803533142,4294967295,0,coinbase2356,5000000000
2159631961695970,UTXO2142,0,-1,1HGC8oarXbcH8tPsReZTS3yZzwwtQZ8B53,5000000000
1392975661626794,8027679296728644,0,193,1QB5vX5X4WviFmsg2mxBNgL9NxfMsU9632,5000000000
coinbase2515,4977412114601259,4294967295,0,coinbase2515,5000000000
coinbase2527,291740268812181,4294967295,0,coinbase2527,5000000000
4878015566727482,UTXO2231,0,-1,152JvVkjjSomSTRMPem1XrXST4wdKRzpak,5000000000
7000406111588742,6775069977804178,0,317,1DUbPK9oB9j6P24Z6KsQ2TdBJyPcxFYKgD,5000000000
7434581853713895,UTXO2345,0,-1,14jMwid2hNyHsLBGXjZgXbBLik5EFcvyvz,5000000000
1052976548704940,UTXO2478,0,-1,18jvEQu7VbEPy2ddBkvzuSXf4w3vDzw1V9,5000000000
coinbase3078,6631970572936514,4294967295,0,coinbase3078,5000000000
4311093111732080,UTXO2661,0,-1,1HQMxkLDX7trtdJWkCxJFH7gVYYtLjuVgw,5000000000
