id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
UTXO30,UTXO,"",-1,"",0,1,5000000000,0,0,-1
UTXO47,UTXO,"",-1,"",0,1,5000000000,0,0,-1
UTXO61,UTXO,"",-1,"",0,1,5000000000,0,0,-1
6368272203011004,tx,41b48c64cba68c21e0b7b37f589408823f112bb7cbccef4aece29df25347ffb4,73,000000008ec9525cb2092c6bd7d1c2580e595bcfa54bac51cf6f0278b242f25d,0,1,5000000000,1,5000000000,73
4367763463314993,tx,ca7b0295546806c9b6631f8bc89ed0b55434ee5f8ce6198a918af18c6da9237c,114,000000005d7dd40c24c4b6334812f48d4386c7756fb9006d6c74300837c91ebd,0,1,5000000000,1,5000000000,114
UTXO129,UTXO,"",-1,"",0,1,5000000000,0,0,-1
coinbase167,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase175,coinbase,"",-1,"",0,0,0,1,5000000000,-1
5056161943511984,tx,15f09c3978221c2a92e6469b1b82762f21b70c216944a63c9a821d8f846bb48f,242,00000000bd0f11ce95423513cc30ed6990fe8170b9a2edfcc1cbd9b89bbcf0df,0,1,5000000000,1,5000000000,248
coinbase278,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase313,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase356,coinbase,"",-1,"",0,0,0,1,5000000000,-1
UTXO402,UTXO,"",-1,"",0,1,5000000000,0,0,-1
UTXO567,UTXO,"",-1,"",0,1,5000000000,0,0,-1
6052767883437926,tx,4a1c9e5404dd08f932998be36ec7ad9878b03504212e2a0771373bcdbcae07ac,625,0000000099424c7f78847a97b95557110802c172cd97fa3044f76e6c4700ed22,0,1,5000000000,1,5000000000,641
coinbase695,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase705,coinbase,"",-1,"",0,0,0,1,5000000000,-1
UTXO677,UTXO,"",-1,"",0,1,5000000000,0,0,-1
