id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
UTXO11,UTXO,"",-1,"",0,1,5000000,0,0,-1
2982152814337967,tx,b5b1eee8ccac5e2c8e80ea3ee5155e7c523d93bbe11200744e7efd507904c254,100011,000000000003b7668ee500a16c728f19b7289467ec1bb879043ca62ca51bce66,0,1,714000000,2,714000000,69
625897322242664,tx,cb9b379c449333bf791089853309d899567a5e6ca26aa3ff5e4213779c00ca11,100026,000000000001ac7482a8376eb54013f6a2167c88de59738da05222eaf429c272,0,1,5000000000,1,5000000000,146
4028663871722681,tx,5c401eae78adefc9ece87ae88beaadd9c430526458b92ff20acda5f237638072,100034,0000000000035516bb32ab3e12a37b200efc0266bd71d4dd16f4abc2f5b42a90,0,1,34385000000,2,34385000000,184
6101581460319203,tx,b83b61735c8297ab0318577e6af6f5bf7e94f88b05c162416a1b5f151cd96aad,100041,0000000000023079a390785984bb0e544dcd71b9a7d0ea081e7246a7c428f525,0,1,5000000000,1,5000000000,203
7134295758373036,tx,03ca30f09d55701f00a51bbc8feac098692009e6fbb40ca8fd64053463d5c4ca,100141,000000000001b11ce4cfd9d2ad9c986af27b002e933d9fc472d081772b463efd,1000000,1,8000000,2,7000000,520
696813618197657,tx,020457b632d051285c8416936c0dce906cc02be6e99d416afccca47f81fccd13,100158,0000000000040f7c1e912355bb4bacc384fea03808857961307f0e7a712b9994,0,1,4611000000,2,4611000000,561
2457748391727848,tx,b54cebac42e6d9e1348489efcb7b60ab3af83d73ea49779b544197b01e79da45,100183,0000000000035205648204fe6b354c1ed61fccd60ae236264759d6b33d482815,0,1,84000000000,1,84000000000,664
coinbase100185,coinbase,"",-1,"",0,0,0,1,5000000000,-1
888470357243369,tx,5758e3c27a9703ad25c79cfcbe250f75fe40c9f54a3bc7fe794eaf4b00794019,100188,000000000001b55cc46546ce9d2cd24a478aeda552b10b6b9492f5f644beb256,0,1,2626000000,2,2626000000,711
7361922901975621,tx,b721432b12335bab8fccaa6646923e497408341154ea9feaca29127dfb093dd1,100308,000000000001953c9fc328e7715e569cf44705464d0404f6965220c9d27257dc,0,1,5000000000,1,5000000000,1090
5588350552107772,tx,5d669dfe8d36e50f329666ec19fe3e534bfb114ce111e79a19e0574f0c9ad49e,100317,00000000000458bd7e84fdcdacc66f887241df3dc9845f3d568c34195cacc0bc,0,1,2979000000,2,2979000000,1163
1273094578931706,tx,7a84167f9c8bcd945427b8f57f616b082cf5f3190b727dd205d23f2471fb2e24,100352,0000000000034e1d745bc056ec259ad34316d763857fc8ad4a1194a415d958a5,0,1,5000000000,1,5000000000,1256
1034027942926546,tx,0cce07cd16e06503785b27b5ad7af54f41712d833f795a1f2d95c6ce218b631d,100359,000000000002e245fdfe674d2b226000fc9044e71e77cc66fc66529019d9f8df,0,1,2507000000,2,2507000000,1284
7969386432595154,tx,9e0f39c35af50fd0464643640060645175eb651205000df582962624fbea80e2,100393,000000000001542c7c3a1a1955d56b639e7f703f6405213ed51d117a00ad5fef,0,1,990000000,2,990000000,1403
2952563138844756,tx,df8a90bd8029ce4a86ba52fb4b8a2990eebfe07d2ac26dd9f4a6c28a68b9ea53,100408,00000000000202841a86c3496fc1ec5a4bf3e970c173ae3b63be60f516e1c67f,0,1,12766000000,2,12766000000,1437
6840014661104917,tx,750b05da3bc6c2fafa61ab8603271f4f5bac232e35482671ababa81121a867c2,100451,00000000000383cafa6a87118601e6dc269d7cf1d78dc68597dbb6f95559f838,0,1,5000000000,1,5000000000,1580
5278634922326866,tx,11ec4a3e9f5a1599bd0b1ca17074b281135e1c83f27e4ae0b296da8dbb1f0796,100514,000000000001d241eb59a0e12c98401c33747fb708786a5d90d8e5b1f830fe2b,0,1,65000000,2,65000000,1755
coinbase100566,coinbase,"",-1,"",0,0,0,1,5000000000,-1
437414729310155,tx,0c5959fefb95785877c3d2435409400eebc51c0ca8f31be9ca5afe7a6c9c6e0c,100607,0000000000007248d9daf91e87c9e759bca20ea94c9d4d236fd09b4d7b60ed59,0,1,5000000000,1,5001000000,2150
8276156025521881,tx,0baaaf1ad851b095b2ba9c06fb505d1bcf312b125d9669a14fce360ee0f538eb,100715,000000000002f2fc41ea6a3ba83e85c9b21bdb9058ead28e152df06665ba72ef,0,1,12161000000,2,12161000000,2490
8198500616697611,tx,e51bc1065246bb2aee761d233498f954afb41d026b690b01d85eb89767f103e9,100729,00000000000034a8dfbe8cc201826fdb3c2ab9c12c713c8b8aa7f76735209274,0,1,5000000000,1,5000000000,2524
3586494332106904,tx,d059ec7e4085eb8ed8b240a82379cf0d717a22c9666ba94bb3c6c43b452eef65,100784,00000000000304d51de00dc9c22b439030160b615303f0978d0e5ebc14c643b3,0,1,2302000000,2,2302000000,2750
40911587575293,tx,510f54e942e45027e9a7698e30bc22764dec9745835fbbaa68eb2f28c5ab2901,100875,000000000003a8790e66e4cdc766413c5932240112504be1b2eb5b83f4f6db0d,0,1,1000000,1,1000000,3250
6606900728294801,tx,233dbe082c52903c4d1d0aa6b330a61d062d813e240e7bdb998a6ccf9787c7bb,100906,000000000003f7ef838297664b7eab51735d86fb9b8aa877326247fdcca6575b,0,1,33515000000,2,33515000000,3542
4497832385466819,tx,40b80308e8a2f0e0812ef95048dbf5e55b2ca892a96d0e178e1e8ec2ac09d67f,100913,000000000003d6a1d220379e64cc29d049ff7716ebd0e9fd59b7cf7acc7ba505,0,1,5000000000,1,5000000000,3625
3927518369719107,tx,bef0e1b42441b868f6444d8035121352339a3b3b0cd8271da6191a350a75a06f,100917,0000000000003f05e8e589214f8272b27ea4f63a423e246602da781d84e9c452,0,1,1000000,1,1000000,3731
1956981439165086,tx,9a242acbe37740f7bae6cb63a052b080934b240b366087212cf6941bfce99e37,100947,0000000000037a74fcf3d5ab0cbb74ca12e2a19f0cd8aedc7704663d9b79206d,0,4,5000000,1,5000000,4047
5265282922585952,tx,5cab085f93722fbc4c7db88a0912dbb88fd1bdd5af66a251d207fbf0b1f9a595,100952,00000000000162a865106214fa547cc778b98c4914c37c8eb13cb6bfeb6a3d6c,0,1,1000000,1,1000000,4104
coinbase100978,coinbase,"",-1,"",0,0,0,1,5000000000,-1
3142404256959081,tx,66b39d6ff5eb6f8bf4477805cce7baf4b419fc2cc181e088ec4b53d00b005059,100989,000000000001d36a28306c14f32eec3d0f60c683e90d63f3ecb92bf6edfa8861,0,1,1000000,1,1000000,4376
7002287820888681,tx,6f4fd05e376795998cbe45b1e325e33e0c9485ba73ac92a2cd4fd36e715904c7,101026,000000000001bf4ddc8547692e1b80ffb1721f101ff7904f03d194cbe5a2b30c,0,1,1000000,1,1000000,4560
2090172665591514,tx,4627757b0e884794cbb72e5d592b8f8ac9e92e86f73f17541cd2b603fa01683b,101062,000000000000af972f8d9b61cc22b938164ea63ff46c78a94d060ad7eb34faa1,0,1,69000000,2,69000000,4769
1978201265349075,tx,ad311fbf9ef53278828c4bce709fb90c743f7ce8011806a0b5990eb9fd4e3938,101068,00000000000238122dbc2623f31b602fcbfcb7ca306e1fbdfea9dbdc15e3e72a,0,1,1000000,1,1000000,4836
1031678081726980,tx,6d0806189804d11586e1cac88d8bf5a4bbc36baeb0a99710b726d0ab2c72521d,101072,000000000003948f45e3c53427e457b9b60f0cdecf47e318a2c157703b46b849,0,1,1000000,1,1000000,4896
4567975734414210,tx,b4d3323cc71dafcf34a93cade54283adf58b2926cc7a664e00105cf0d765d481,101121,000000000002de92d93fcb92eeb2be097af8570a70fa5a8c6df473626891c9d6,0,1,33230000000,2,33230000000,5257
2604748883623174,tx,a73a1c25097c9245493a547b5fb1a03a05b7e01abe77118c4931e87fdf0a084a,101127,0000000000027657c6a834ac21e1590ed0863424cab97e6fc6f07e7500d1479a,0,1,89000000,2,89000000,5312
8628235631793108,tx,1fb02ece139db6b873aed31c4ca8c7e24c2b71ac77af4e049ca79ef83ead3af5,101135,0000000000028cabb032043114be713c824e6eb6efbc13d4f0c8d9d2dee0d125,0,1,1000000,1,1000000,5367
