src,dst,src_position,dst_position,address,value
4764983090866501,4764983090866501,0,12,1HWqMzw1jfpXb3xyuUZ4uWXY4tqL2cW47J,5000000000
111905863111945,6896493393222575,0,0,1BNwxHGaFbeUBitpjy2AsKpJ29Ybxntqvb,5000000000
6896493393222575,6896493393222575,0,6,1JqDybm2nWTENrHvMyafbSXXtTk5Uv5QAn,556000000
6896493393222575,6896493393222575,1,0,1EYTGtG4LnFfiMvjJdsU7GMGCQvsRSjYhx,4444000000
6869576823660862,6911274329242193,1,0,15vScfMHNrXN4QvWe54q5hwfVoYwG79CS1,300000000
6911274329242193,6911274329242193,0,0,1H8ANdafjpqYntniT3Ddxh4xPBMCSz33pj,1000000
6911274329242193,6911274329242193,1,3,1Am9UTGfdnxabvcywYG2hvzr6qK8T3oUZT,299000000
400283812289172,1022094957881939,0,0,1JxDJCyWNakZ5kECKdCU9Zka6mh34mZ7B2,1000000
1022094957881939,1022094957881939,0,1,16FuTPaeRSPVxxCnwQmdyx2PQWxX6HWzhQ,1000000
2680707186924421,2680707186924421,0,8,1CSBYU9D5qYoPdPk8SANyeeJoaLXFDz47n,5000000000
7655198127363341,7118293038187257,0,0,1MfRUT4aWmHFk8sNVHZqP7DXtmbJpywy5x,5000000000
7118293038187257,7118293038187257,0,1,1EYTGtG4LnFfiMvjJdsU7GMGCQvsRSjYhx,4444000000
7118293038187257,7118293038187257,1,7,127YYnp1jvgAX3vCB22WUUsuyTYfAeSQHh,556000000
5548004002976332,6582456201968131,0,0,1HYAekgNKqQiCadt3fnKdLQFFNLFHPPnCR,5000000000
7497322323230222,6582456201968131,0,1,16hwoJvz1xje8HBgoLZcxwo1CwE3cvkb17,5000000000
7950247639827012,6582456201968131,0,2,1KWGBfAsuBFzKQ7bhSJV5WbgVNvvQ5R1j2,5000000000
7952754834342482,6582456201968131,0,3,15XgnazTwLj7sNPkbUo5vCSKBmR43X5vW4,5000000000
7959853019436349,6582456201968131,0,4,16HjHvF5umsgAzaX2ddosB81ttkrVHkvqo,5001000000
6582456201968131,6582456201968131,0,4,15xif4SjXiFi3NDEsmMZCfTdE9jvvVQrjU,25000000000
377520570602345,7580998855386041,0,0,1PoZobT7mi8r7BpB1byLwFeQ5fPfYgQGed,5000000000
7580998855386041,7580998855386041,0,0,1LCLwhBgimzwiS8SyEVmWrm2JjM8SSdF7e,4881000000
7580998855386041,7580998855386041,1,15,147dRpRoYQxpf5WGnz7dipCcavtANRRfjt,119000000
8670410307310529,404787961423661,0,0,1QLE5nfEdVTYTEADjZ4ADpzRLgayQi89jn,5001000000
404787961423661,404787961423661,0,0,1Ecp1t1JPqoAXLeQqo5qUusCLriu3foeff,4893000000
404787961423661,404787961423661,1,0,1DDtRVbeUaoVzBtDVAjBwwT9Y8dcVGj3fB,108000000
1363877921680488,744073511122226,1,0,1JuLFX8dwdFEoSxEkf831aWtZoU62pB6uL,4863000000
744073511122226,744073511122226,0,47,1A6ru2AYP9gMBpMEw63fwLqXNJ75efaBiY,127000000
744073511122226,744073511122226,1,0,1AFSiVVChPx1oLHXFwqatb3o7GnJzscavZ,4736000000
961909051713104,7095615352281121,0,0,16KnEp9ThwKEyt8rLSuqP3fJ1BLdgHLbRt,4721000000
7095615352281121,7095615352281121,0,0,1HhufprdPc1mVabWxovGxLJYt4avD5Mvrf,4583000000
7095615352281121,7095615352281121,1,28,13SecR7EGTXQ4LHGWvYhbAEUbMnFpyMWHG,138000000
