id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output
coinbase150005,coinbase,,-1,,0,0,0,1,5000000000
6025294500288721,tx,ecbd8091373f787bb7174794bcec649c5b3d5aa5d19d7046c588c6da92c93fab,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,5000000000,1,5000000000
2184650930933010,tx,c7d299b0bf28bc9bac80c2dcade13eeb0731a66df591792f6a946892756d173e,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,18143844431,2,18143844431
4811556581968564,tx,dc1a842d2e444d6a1f068ac8a8604bc49a7e025079ec45dfcda6551487aec088,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,4300960000,2,4300960000
5779082741948171,tx,b421d18aa453f44f2f9544008274b725cad46ce3d356a94f2a5bf8b06f5c40a4,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,8342950000,2,8342950000
5928205051561449,tx,3e65fce3745db5b25b6016a450d3cc66c833370d8074f815a8492f08625e7da8,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,4033350000,2,4033350000
2565071503318303,tx,920d3de2db1e0cd9e9fdcd060e1e9de5380221941219ad1ec4ffe83afe59e748,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,4997283400,2,4997283400
1601869630749697,tx,358b2ba2b59138f14facb9da781dec886f89b50472136325230ee089b222872d,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,4909617921,2,4909617921
6804565855208808,tx,976e4b610d034f4f92ee56384782e2b1c8d6874b1a34176ef0412b3495bb65c1,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,4812350000,2,4812350000
7337246343975303,tx,6df36781d4d3b1eba9b699ff60972d60adc17dcb374414c99c3d8cb24f7e89d0,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,26665703,2,26665703
8642058295390766,tx,66ce602f26ae00d128ea83e5afddf8c1cd226b7148322bb090779199f63f9ff5,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,52807149,2,52807149
1218300928814487,tx,407668158ecf481c4191a5ec8c6994d51ac5932d691158cee6b86cbb504ea022,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,4999500000,2,4999500000
8970122666926254,tx,2f98c0192f0b6aae61a52c104c9151cd4342ffe4edf99d527f73053b793bf2fe,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,4432655481,2,4432655481
4328103572162908,tx,ba218729090838771323d7064bf2e20090c155c64793abce4be54ac21f19037b,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,2,6278755481,2,6278755481
2028788297035292,tx,fc45b7490043cd57cb85f0721765d409f2b7ed1d084bb95e06e37027ae60a939,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,50000000,2,50000000
4914352494998682,tx,ac3f0284c5776707d329778069d18b1f042cd2645fb58de4ffd6a41fd69eac8b,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,860450000,2,860450000
6951416307316097,tx,442160b3fede2e3db3288efd304f63f107ca30c68c3bf687f90eac77dd3592c5,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,353692532,2,353692532
2844276357403776,tx,9275958fbfd94f7cdaa2294ea5f52510a859ca9dadf17658e001a4688fd5d650,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,4299960000,2,4299960000
6215623056589722,tx,554cfbb110ce64364596614f82690cbf613a2762ba24a5b521d51cc4229ca8b0,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,3971350000,2,3971350000
7353037679696674,tx,1d0afce9d010188f626dce3ba375c26f6b382711409792bba115d958f763fcd0,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,91617921,2,91617921
4433149756587694,tx,f83a015c62023b7a6296a4ac32f7e95bfb415ab03a5c00c13f76f5d1e368ff7d,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,615755481,2,615755481
4491287710019757,tx,259f5561e042fafe62a96029452f70c92126e30f7e742724b9698551446ba67f,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,655450000,2,655450000
3983279940865355,tx,01b10e7851e617b198145b85c20ad6899c1af1eff5f965f11e5a6a540f2d3671,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,332692532,2,332692532
99439819463406,tx,dd7b334f3dc8bfa7d915211e9e9e7cc1d1812705aa81c4cfe271d7ec1885d302,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,2283960000,2,2283960000
4841695996551726,tx,7f05e01a390bb6bb2cfaff33e0dcc7392bfb0d38f6c3c9e8e17211e18ff99b89,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,2968350000,2,2968350000
7531535614882960,tx,e4e37599caecadd736b4a85ba76ac71b5b979863ada91adac480a48147220fd6,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,115755481,2,115755481
2339851664141044,tx,85a13393818af4a10d2c907a073bacbccacf726c4aff7ab206a757255aa98042,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,501450000,2,501450000
7615282564620214,tx,85cb8a8f4a58a7560459cbdbaac5093b6ba1e06b118882d36db6fd06217970d8,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,307692532,2,307692532
8606697875885898,tx,893751a7971a4f93f5cb702f922139b3d16bd9f33ea6c08c0a567aa60cf89df4,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1770960000,2,1770960000
6867550545877554,tx,81cbe7914f2d6004931331e6d9661143c10f322a1bed7711d090d11cb60130c3,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,2466350000,2,2466350000
UTXO0,UTXO,,-1,,0,1,6000000,0,0
7783156119531008,tx,78e3dcd0fc7d349267e8ba3b0eae51476f6e950fc4bff277700770e3fde935dd,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,244692532,2,244692532
1749236747933168,tx,1fc286ec0c5a7c51c1a80bc33c2a935ebe7eb6c715020ba24085afe8575fb731,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1561960000,2,1561960000
483131553447978,tx,835a9f8bb9f2b8cec3d206f4bc2b00432deb47a56846cfdfcb5301fca43ebb0d,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,2363350000,2,2363350000
2881517771051955,tx,d27c8410b21e0083972a9fb8900450e379b577d1c9079160019d9d4219cde551,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,238692532,2,238692532
7843531472713913,tx,6b380f2c585f06c5b34ca406ad3c3a0861fff4cbe71f942ea1cbc5b9d933edde,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1467960000,2,1467960000
7909562702004772,tx,ba8718f06ab9a89c38ebef50207975392aeeb1e57fdf32d47921117499a4cde0,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,2259350000,2,2259350000
2439726600659955,tx,64c098edee1da43eda2e59e43badeb2cbbb4f351b773f9498e9f1f0deb585745,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,188692532,2,188692532
3150562226966477,tx,83b86535149d1384a0534de7c11a697059b3b210e9d706a17e687e0c735b8b59,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1167960000,2,1167960000
5103873946211532,tx,b75ca250f6e4d372ee608a7cd05c580ff51a719984b6c92e3160a6560c920f91,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,2159350000,2,2159350000
1105243489525846,tx,5788584b8a6564e472d6d2b14655c49e0777b6924026cd0a3db702ab6cb4691f,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,88692532,2,88692532
4015185047530216,tx,055a1d32fa0a939ff55fe1cefc033cf664df1f4565611bab614157b9f3501e72,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,723960000,2,723960000
4990980290868934,tx,47a676bbd9782baa7f8510f7a289f17610df26fefa9d0d380933b68b3a29da8d,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,2058350000,2,2058350000
4834694203074524,tx,c0e9f2e319f513b66158b927fe5318ec4a5d79c444abdd4036e13e93b4076989,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,2,387142532,2,387142532
5879437106703389,tx,39dcec8589b5654b76b58dd3388dc6272dc7fcb0e2ec937a5aef60cb01891aa7,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,602960000,2,602960000
7727912248254463,tx,16e64862083e6f683f175af4182b6fe160ef09c3659eb40597fbff4c43f6a3db,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,2008350000,2,2008350000
1808246155784708,tx,a22a06322c623dba043146b49c27acf9763d6a22e80eeab577219041eeb86433,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,86142532,2,86142532
5149558883620449,tx,77602a79967c4520c6e7fbd79e35802efda20a6d41e61d65220db310e0f85b92,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,436960000,2,436960000
1796174802852106,tx,167815543eae712a6a6c5a04779b61466d5d90568a406572eb50c8a048e40c33,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1998350000,2,1998350000
2380512527873191,tx,e88ee3f7e8aadb6f7cc7058b16074ec253a78ec31d0ce211513ba5db1c82a843,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,61142532,2,61142532
6918647177340585,tx,000b251763c86190a5b664c77a54a00de67afedf93eb71dc3f4f35a79ac8a3c4,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,423960000,2,423960000
3323265737516430,tx,3f097345349c7890dcbc58647d2f736d6c90b1940a90140b11772c3bcef0735e,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1988350000,2,1988350000
2247423129469945,tx,973605df479a7df9f12dd82ec4b98a8e6067523a57aad7fe74cf1f56ca27e03f,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,60142532,2,60142532
7230840465583701,tx,58d10260c00a80aff355a0c33d5ce869f889fbf8607bbcd1c1af7207eb4983cd,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,353960000,2,353960000
1712059766873552,tx,7bf9299a01b582910a6925cd7bd2c629a6825c1652d929732e86eee8d1dfa830,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1938350000,2,1938350000
1913794990893781,tx,c9a6067828de6280ef9cb50263432b9aada29f1e0f60441e97ab56d7f4b06436,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,32142532,2,32142532
316686393009450,tx,9ece6c0498d977eef59e71a9d0486a8a68be399a644f4ca65c5729af5f320009,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1833350000,2,1833350000
UTXO1,UTXO,,-1,,0,1,1000000,0,0
773453735749904,tx,033866baa56b9c0df8bb92b42e014c9842f6b88fb19632144a83485bd99dfb15,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,22142532,2,22142532
3192725235283078,tx,4a001cd4aeca4ae50157340afa6461524e9a1cd47dbc3af5da31a41d2c22be5a,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1533350000,2,1533350000
5744191634150597,tx,3f5374cb313da991d810f076e3b86a68de88a92c1487ef2d5228a600af7e42a3,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,21142532,2,21142532
UTXO2,UTXO,,-1,,0,1,201000000,0,0
3958075459425518,tx,5e229d701c666a1f0d68961135e8fcc3fd550703f9f6ef26ed71a7060eca7e70,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1319350000,2,1319350000
